timestamp,id,category,quantity,price,discount_pct,total,mixed_col,target
2023-01-01 01:00:00,ID1000,APPLE,24.0,382.86538938693593,0.07543273185353953,8495.635371199445,,0
2023-01-01 02:00:00,ID1001, apple,11.0,404.42192364013584,0.08241953910777262,4081.986205975007,,0
2023-01-01 03:00:00,ID1002,APPLE,49.0,$176.42,0.062168294702416936,8107.19056463837,2,1
2023-01-01 04:00:00,ID1003, apple,8.0,99999.0,0.26346620024375766,1384.7633095931178,three,1
2023-01-01 05:00:00,ID1004,APPLE,36.0,$326.64,0.2270997396516686,9088.508674813469,,0
2023-01-01 05:00:00,ID1005,,38.0,28.789167477531695,0.014068940337365976,1078.597107121259,1,1
,ID1006,bananna,40.0,$474.83,0.0806017446075922,17462.20965989624,,0
2023-01-01 07:00:00,ID1007,Apple ,20.0,443.90679171253356,0.006655422609090488,8819.048088292824,2,0
2023-01-01 08:00:00,ID1008,NA,35.0,134.1423435541484,0.14944955599376789,3993.3190454506107,2,0
2023-01-01 09:00:00,ID1009,APPLE,48.0,12.57574744374045,0.14286320903670424,517.3985187788428,three,0
,ID1010,Banana,-5.0,467.0509724993441,0.24941144701875034,8764.077840419202,,0
2023-01-01 11:00:00,ID1011,Apple ,35.0,253.01474253805333,0.09233317193131482,8037.858108494546,1,0
2023-01-01 12:00:00,ID1012,APPLE ,25.0,271.99183695803094,0.2449157205639187,5134.4190055487725,1,0
2023-01-01 13:00:00,ID1013,APPLE,29.0,$343.56,0.2903921296319469,7070.036030767753,4,0
2023-01-01 14:00:00,ID1014,Apple ,18.0,309.84632637300734,0.026522467009693972,5429.311873266679,1,0
2023-01-01 15:00:00,ID1014,bananna,46.0,$472.23,0.23754535184088987,16562.353873469114,three,0
2023-01-01 16:00:00,ID1016,APPLE,18.0,472.40454057695786,0.17698676914129083,6998.313369826192,three,0
2023-01-01 17:00:00,ID1017,bananna,2.0,434.2634721097269,0.14401379010554252,743.4470871736252,1,0
2023-01-01 18:00:00,ID1018,Apple ,35.0,320.01978073577556,0.1261607335995225,9787.604765112712,1,1
2023-01-01 19:00:00,ID1019,bananna,16.0,401.4699008677879,0.23540047918329285,4911.419101213464,4,0
2023-01-01 20:00:00,ID1020, apple,41.0,340.19832947957593,0.1918084070922727,11272.762622072498,1,0
2023-01-01 21:00:00,ID1021,Banana,36.0,288.816685627607,0.24151340025580856,7886.289089918546,4,0
2023-01-01 22:00:00,ID1022,,33.0,$68.61,0.27094531760298785,1650.6186377451188,4,0
2023-01-01 23:00:00,ID1023,APPLE,4.0,406.5460674843215,0.1851791136291876,1325.0489082325719,1,0
2023-01-02 00:00:00,ID1024,Orange,33.0,$411.22,0.29413881752771337,9578.639186316223,2,0
2023-01-02 01:00:00,ID1025,Banana,14.0,314.84013670027855,0.18242635486256556,3603.669974766609,2,0
2023-01-02 02:00:00,ID1026,,21.0,411.1112876667777,0.19099329648668475,6984.427539860695,4,1
2023-01-02 03:00:00,ID1027,bananna,48.0,327.48496206960505,0.1664446825626677,13102.887912666354,1,0
2023-01-02 04:00:00,ID1028,APPLE,20.0,$107.31,0.027300627315399083,2087.5832345071626,2,0
,ID1029,bananna,8.0,140.6107580239612,0.21791910979506848,879.7518944621585,1,0
2023-01-02 06:00:00,ID1029, apple,7.0,$111.22,0.16423389206973346,650.6867896491342,1,0
2023-01-02 07:00:00,ID1031,Apple ,3.0,191.74324619784804,0.1352731342248313,497.416608954665,1,0
,ID1032,APPLE,17.0,$24.29,0.2731413835209819,300.10157566291196,,0
2023-01-02 09:00:00,ID1033,,33.0,311.03567274725697,0.08938783546258514,9346.684617888113,1,1
2023-01-02 10:00:00,ID1034,,48.0,171.59433636991963,0.15708068280450335,6942.7286806822585,,0
2023-01-02 11:00:00,ID1035, apple,12.0,329.5827045134674,0.209292561448039,3127.2419529224594,4,0
2023-01-02 12:00:00,ID1036, apple,22.0,195.7713273779547,0.23894153270216317,3277.8553798128432,2,0
,ID1037,APPLE,22.0,342.3987661415309,0.13780404238385172,6494.7263053196675,2,0
2023-01-02 14:00:00,ID1038,bananna,46.0,173.60916188479882,0.2526274245056129,5968.533416574149,2,0
2023-01-02 15:00:00,ID1039,Orange,,134.04379147677204,0.23067532239461924,3093.6958998861164,2,0
